지역명,2022관광지출액,2021관광지출액,2022검색건수,2021검색건수,2022방문자수,2021방문자수,폐업추세,,,영업상태구분코드,,,폐업일자,,지역명1,,,,
,,,,,,,,204,,3,,,2019,,경상남도 산청군 삼장면 평촌리 614번지,,,,
,,,,,,,,205,,3,,,2014,,경상남도 산청군 산청읍 차탄리 498-3번지,,,,
,,,,,,,,206,,3,,,2019,,경상남도 밀양시 산내면 삼양리 1870-3번지,,,,
,,,,,,,,207,,3,,,2019,,경상남도 밀양시 단장면 범도리 1067-3번지 외 1,,,,
,,,,,,,,208,,3,,,2014,,경상남도 거제시 일운면 소동리 129번지,,,,
,,,,,,,,209,,3,,,2014,,경상남도 거제시 일운면 소동리 129-2번지,,,,
,,,,,,,,210,,3,,,2014,,경상남도 거제시 일운면 소동리 130-1번지,,,,
,,,,,,,,211,,3,,,2016,,경상남도 거제시 일운면 망치리 8-1번지,,,,
,,,,,,,,212,,3,,,2015,,"경상남도 거제시 장목면 외포리 1256-2번지 외 11필지(1,6,8,9,10,11,15,16,17,22,23)",,,,
,,,,,,,,213,,3,,,2015,,경상남도 거제시 일운면 망치리 9-42번지,,,,
,,,,,,,,214,,3,,,2015,,경상남도 거제시 일운면 망치리 9-41번지,,,,
,,,,,,,,215,,3,,,2018,,경상남도 거제시 일운면 소동리 158-9,,,,
,,,,,,,,216,,3,,,2015,,경상남도 거제시 일운면 망치리 45-8번지,,,,
,,,,,,,,217,,3,,,2017,,경상남도 남해군 창선면 동대리 116번지,,,,
,,,,,,,,218,,3,,,2018,,경상남도 남해군 창선면 동대리 114-15번지,,,,
,,,,,,,,219,,3,,,2022,,경상북도 포항시 남구 구룡포읍 석병리 603,,,,
,,,,,,,,220,,3,,,2022,,경상북도 포항시 남구 구룡포읍 석병리 603,,,,
,,,,,,,,221,,3,,,2021,,경기도 가평군 가평읍 금대리 55-36,,,,
,,,,,,,,223,,3,,,2018,,경기도 남양주시 수동면 지둔리 48-7번지,,,,
,,,,,,,,224,,3,,,2018,,경기도 가평군 북면 백둔리 342-2번지,,,,
,,,,,,,,225,,3,,,2018,,경기도 가평군 북면 백둔리 342-3번지,,,,
,,,,,,,,226,,3,,,2015,,경기도 가평군 가평읍 산유리 48-1번지,,,,
,,,,,,,,227,,3,,,2017,,경기도 가평군 북면 백둔리 45-5번지,,,,
,,,,,,,,228,,3,,,2017,,경기도 가평군 청평면 대성리 402-1번지 외1필지,,,,
,,,,,,,,229,,3,,,2017,,경기도 가평군 하면 하판리 417-10번지,,,,
,,,,,,,,230,,3,,,2017,,경기도 가평군 청평면 대성리 413-3번지,,,,
,,,,,,,,231,,3,,,2017,,경기도 가평군 청평면 대성리 422-2번지,,,,
,,,,,,,,232,,3,,,2021,,경기도 가평군 청평면 고성리 720-2,,,,
,,,,,,,,233,,3,,,2017,,경기도 광주시 도척면 궁평리 401-1번지,,,,
